step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
348,303808,5568,0.01637988910375246,1.0,1.0,,,,,,,,,
349,304592,5584,0.0177183893309234,1.0,1.0,,,,,,,,,
350,305504,5600,0.020210416307261555,1.0,1.0,,,,,,,,,
351,306160,5616,0.017307004474674842,1.0,1.0,,,,,,,,,
352,307072,5632,0.0194843696050108,1.0,1.0,,,,,,,,,
353,307856,5648,0.01769149115035153,1.0,1.0,0.02091397600878281,1.0,1.0,,,,,,
354,308640,5664,0.018056128287565226,1.0,1.0,,,,,,,,,
355,309424,5680,0.019825391354811664,0.9375,0.9375,,,,,,,,,
356,310464,5696,0.013601243078642113,0.9375,0.9375,,,,,,,,,
357,311248,5712,0.014806931849651053,1.0,1.0,,,,,,,,,
358,312160,5728,0.015604062927697313,1.0,1.0,,,,,,,,,
359,313072,5744,0.017516034806775917,1.0,1.0,,,,,,,,,
360,313728,5760,0.015460044218036045,0.875,0.875,,,,,,,,,
361,314384,5776,0.018004335452925034,1.0,1.0,0.016680032577264543,0.9375,0.9375,,,,,,
362,315296,5792,0.016485869598769066,1.0,1.0,,,,,,,,,
363,316080,5808,0.017588649872342613,1.0,1.0,,,,,,,,,
364,316864,5824,0.016989386504419977,0.9375,0.9375,,,,,,,,,
365,317520,5840,0.021466540835983323,0.9375,0.9375,,,,,,,,,
366,318560,5856,0.013967252139182165,0.9375,0.9375,,,,,,,,,
367,319344,5872,0.01807785421386569,1.0,1.0,,,,,,,,,
368,320256,5888,0.01637737626785614,1.0,1.0,,,,,,,,,
369,321040,5904,0.015664499204974428,1.0,1.0,0.012915300508351813,1.0,1.0,,,,,,
370,321824,5920,0.01917382104265452,0.9375,0.9375,,,,,,,,,
371,322864,5936,0.013854002309834712,0.9375,0.9375,,,,,,,,,
