step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
306,262560,4896,0.013344998841525745,0.9375,0.9375,,,,,,,,,
307,263344,4912,0.020082681201787883,1.0,1.0,,,,,,,,,
308,264000,4928,0.02539976060230336,1.0,1.0,,,,,,,,,
309,264784,4944,0.019296637227022868,1.0,1.0,,,,,,,,,
310,265568,4960,0.021860926747947106,1.0,1.0,,,,,,,,,
311,266352,4976,0.01697100210180037,0.9375,0.9375,,,,,,,,,
312,267392,4992,0.019000819155894962,1.0,1.0,,,,,,,,,
313,268176,5008,0.02014226462384665,0.9375,0.9375,0.01374271393268864,1.0,1.0,,,,,,
314,269216,5024,0.015401259048987618,0.9375,0.9375,,,,,,,,,
315,270128,5040,0.017790590473082905,1.0,1.0,,,,,,,,,
316,270912,5056,0.01902397015881265,1.0,1.0,,,,,,,,,
317,271696,5072,0.019167005256301006,1.0,1.0,,,,,,,,,
318,272480,5088,0.020931378782776778,0.875,0.875,,,,,,,,,
319,273520,5104,0.018923850240318563,0.9375,0.9375,,,,,,,,,
320,274432,5120,0.016406530289034597,1.0,1.0,,,,,,,,,
321,275088,5136,0.015210399197389961,1.0,1.0,0.0220212024189002,1.0,1.0,,,,,,
322,275872,5152,0.021958379004572634,0.875,0.875,,,,,,,,,
323,276656,5168,0.02167942086435531,1.0,1.0,,,,,,,,,
324,277440,5184,0.016253872252666925,1.0,1.0,,,,,,,,,
325,278352,5200,0.01714894196053842,1.0,1.0,,,,,,,,,
326,279136,5216,0.014489994528253523,1.0,1.0,,,,,,,,,
327,279792,5232,0.020233482697953657,1.0,1.0,,,,,,,,,
328,280704,5248,0.013230889331302934,1.0,1.0,,,,,,,,,
329,281360,5264,0.017157028980939744,1.0,1.0,0.011361086308027697,1.0,1.0,,,,,,
330,282272,5280,0.017276213140879244,1.0,1.0,,,,,,,,,
331,283184,5296,0.01666461176470477,1.0,1.0,,,,,,,,,
332,284096,5312,0.01779777318421452,1.0,1.0,,,,,,,,,
333,285008,5328,0.01982372758961966,1.0,1.0,,,,,,,,,
